timestamp,run_id,split,data_source_type,missing_interval_before,sample_index_in_run,target_temperature_30m,target_temperature_60m,target_temperature_90m,thermal_change_60m,temperature_dining_c,hour,minute_of_day,temp_lag_1,temp_lag_2,temp_lag_4,temp_lag_8,temp_lag_12,temp_delta_1,temp_roll_mean_4,temp_roll_min_4,temp_roll_max_4,temp_roll_std_4,temp_roll_mean_8,temp_roll_min_8,temp_roll_max_8,temp_roll_std_8,temp_roll_mean_12,temp_roll_min_12,temp_roll_max_12,temp_roll_std_12,temp_trend_4,temp_trend_8
2012-03-13 14:45:00,t15_20120313,train,EXTERNAL_DERIVED_BENCHMARK,False,12,21.488,21.584,21.664,stable,21.2333,14.0,885.0,21.0333,20.8453,20.412,19.3721,18.1875,0.1999999999999993,20.73265,20.412,21.0333,0.23156040788526613,20.252425,19.3721,21.0333,0.5488434242796363,19.709183333333332,18.1875,21.0333,0.909703504659012,0.2071000000000005,0.23731428571428584
2012-03-13 15:00:00,t15_20120313,train,EXTERNAL_DERIVED_BENCHMARK,False,13,21.524,21.612,21.6853,stable,21.4293,15.0,900.0,21.2333,21.0333,20.64,19.6407,18.4633,0.1960000000000015,20.937975,20.64,21.2333,0.2200462834837001,20.485075000000002,19.6407,21.2333,0.5200923373546237,19.963,18.4633,21.2333,0.873930882087746,0.19776666666666642,0.22751428571428584
2012-03-13 15:15:00,t15_20120313,train,EXTERNAL_DERIVED_BENCHMARK,False,14,21.584,21.664,21.788,stable,21.488,15.0,915.0,21.4293,21.2333,20.8453,19.912,18.7673,0.0586999999999982,21.1353,20.8453,21.4293,0.2182567295640331,20.70865,19.912,21.4293,0.4927821247772638,20.210166666666666,18.7673,21.4293,0.833311741720281,0.19466666666666654,0.21675714285714318
2012-03-13 15:30:00,t15_20120313,train,EXTERNAL_DERIVED_BENCHMARK,False,15,21.612,21.6853,21.832,stable,21.524,15.0,930.0,21.488,21.4293,21.0333,20.164,19.0727,0.036000000000001364,21.295975,21.0333,21.488,0.17858854071576455,20.90565,20.164,21.488,0.4479030280094046,20.436891666666664,19.0727,21.488,0.778194738329609,0.15156666666666632,0.18914285714285686
2012-03-13 15:45:00,t15_20120313,train,EXTERNAL_DERIVED_BENCHMARK,False,16,21.664,21.788,21.808,stable,21.584,15.0,945.0,21.524,21.488,21.2333,20.412,19.3721,0.05999999999999872,21.41865,21.2333,21.524,0.11222309254331364,21.07565,20.412,21.524,0.38827325751330516,20.641166666666667,19.3721,21.524,0.7122201746807115,0.09690000000000036,0.1588571428571431
2012-03-13 16:00:00,t15_20120313,train,EXTERNAL_DERIVED_BENCHMARK,False,17,21.6853,21.832,21.768,stable,21.612,16.0,960.0,21.584,21.524,21.4293,20.64,19.6407,0.027999999999998693,21.506325,21.4293,21.584,0.05615707324090248,21.22215,20.64,21.584,0.32640836769297504,20.825491666666668,19.6407,21.584,0.6427666080550215,0.051566666666666094,0.13485714285714273
2012-03-13 16:15:00,t15_20120313,train,EXTERNAL_DERIVED_BENCHMARK,False,18,21.788,21.808,21.7133,stable,21.664,16.0,975.0,21.612,21.584,21.488,20.8453,19.912,0.052000000000003155,21.552,21.488,21.612,0.048744230427649596,21.34365,20.8453,21.612,0.2615639931259493,20.989766666666664,19.912,21.612,0.5663343908171428,0.041333333333332924,0.10952857142857095
2012-03-13 16:30:00,t15_20120313,train,EXTERNAL_DERIVED_BENCHMARK,False,19,21.832,21.768,21.66,stable,21.6853,16.0,990.0,21.664,21.612,21.524,21.0333,20.164,0.021300000000000097,21.596000000000004,21.524,21.664,0.05051732376109753,21.4459875,21.0333,21.664,0.19931553776296806,21.135766666666665,20.164,21.664,0.4904108232447141,0.046666666666666856,0.09010000000000014
2012-03-13 16:45:00,t15_20120313,train,EXTERNAL_DERIVED_BENCHMARK,False,20,21.808,21.7133,21.596,stable,21.788,16.0,1005.0,21.6853,21.664,21.584,21.2333,20.412,0.10269999999999868,21.636325000000003,21.584,21.6853,0.04029288864034644,21.5274875,21.2333,21.6853,0.13767487459133798,21.262541666666667,20.412,21.6853,0.413403246355451,0.03376666666666731,0.06457142857142882
2012-03-13 17:00:00,t15_20120313,train,EXTERNAL_DERIVED_BENCHMARK,False,21,21.768,21.66,21.5307,stable,21.832,17.0,1020.0,21.788,21.6853,21.612,21.4293,20.64,0.04400000000000048,21.687325,21.612,21.788,0.06394815771375403,21.596825,21.4293,21.788,0.10868183783406647,21.377208333333332,20.64,21.788,0.3470988006757721,0.05866666666666731,0.051242857142856986
2012-03-13 17:15:00,t15_20120313,train,EXTERNAL_DERIVED_BENCHMARK,False,22,21.7133,21.596,21.4493,stable,21.808,17.0,1035.0,21.832,21.788,21.664,21.488,20.8453,-0.02400000000000091,21.742325,21.664,21.832,0.0698470963962205,21.6471625,21.488,21.832,0.11261975778583568,21.476541666666666,20.8453,21.832,0.28732747420071003,0.05599999999999975,0.049142857142857314
